name,category,description,external_source,external_id,status,parent_behaviors
Maintain Valid Access Token,TECHNIQUE,"Adversaries reuse and maintain a valid access token, saving it for prolonged access to the user's account.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0094,ACTIVE,"[{'external_id': 'PTA0007', 'name': 'Maintain Persistence'}]"
Merge/Migrate Assets,SUB_TECHNIQUE,Adversaries merge or migrate assets on the platform in order to force engagement from users. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0080.001,ACTIVE,"[{'external_id': 'PT0080', 'name': 'Forced Engagement'}]"
Messaging,SUB_TECHNIQUE,Adversaries perform artificial engagement by serving messages,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0025.005,ACTIVE,"[{'external_id': 'PT0025', 'name': 'Artificial Engagement'}]"
Modify 2FA Key,SUB_TECHNIQUE,"Adversaries modify the authenication device on the platform asset, usually to preserve their access to that asset. For example, an adversary may add a new phone to recieve 2FA push notifications",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0030.001,ACTIVE,"[{'external_id': 'PT0030', 'name': 'Bypass 2FA'}]"
Monitor Availability Status,TECHNIQUE,Adversaries monitor availability status of a user either through on-platform features or through a side-channel. This may be done to understand the active times of a user,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0043,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Obfuscate Identity,TECHNIQUE,"Adversaries hide their true identity. For example, this may be done to to evade attribution by law enforcement.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0053,ACTIVE,"[{'external_id': 'PTA0004', 'name': 'Detection / Enforcement Evasion'}]"
Obfuscate Tool,TECHNIQUE,"Adversaries obfuscate their tool so the malicious aspects are not detected, whether it be by an app store or by network defenses.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0056,ACTIVE,"[{'external_id': 'PTA0004', 'name': 'Detection / Enforcement Evasion'}]"
Obtain Access Token,TECHNIQUE,Adversaries obtain an access token for another user.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0111,ACTIVE,"[{'external_id': 'PTA0003', 'name': 'Asset Takeover'}]"
Open-source Intelligence,TECHNIQUE,Adversaries utilize open-source intelligence (OSINT) to gather information about users or platforms to aid in their attack.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0117,ACTIVE,"[{'external_id': 'PTA0001', 'name': 'Reconnaissance'}]"
Operate Within Rate Limits,TECHNIQUE,Adversaries operate within calculated rate limits of an endpoint so that they do not trigger and detections or safeguards.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0054,ACTIVE,"[{'external_id': 'PTA0004', 'name': 'Detection / Enforcement Evasion'}]"
Pagination Cursor Manipulation,SUB_TECHNIQUE,"Adversaries manipulate pagination cursors in requests, allowing them to scrape greater information from an endpoint and blend in with organic traffic.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0040.018,ACTIVE,"[{'external_id': 'PT0040', 'name': 'Scraping'}]"
Parameter Manipulation,SUB_TECHNIQUE,"Adversaries abuse endpoints that allow for certain parameters to be used excessively in a single request. Either repeating the parameter to excess, or cramming more values into a parameter than originally intended. Either one can be used to retrieve significantly more data per request than is expected. ",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0040.019,ACTIVE,"[{'external_id': 'PT0040', 'name': 'Scraping'}]"
Plaintext Data In URL,SUB_TECHNIQUE,"Adversaries collect data from plaintext URL strings. For example, an adversary may gather a public ID by collecting the URL of that profile",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0011.001,ACTIVE,"[{'external_id': 'PT0011', 'name': 'Read Data From URL'}]"
Post Content as User,TECHNIQUE,"Adversaries masquerade as the user, and use their account to post content.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0102,ACTIVE,"[{'external_id': 'PTA0006', 'name': 'User Engagement'}]"
Private User Data,SUB_TECHNIQUE,Adversaries access private user data that would not otherwise be available to public users of the platform,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0093.002,ACTIVE,"[{'external_id': 'PT0093', 'name': 'User Data'}]"
Privilege Escalation,TECHNIQUE,Adversaries gain additional privileges on a platform or system to access additional data. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0105,ACTIVE,"[{'external_id': 'PTA0003', 'name': 'Asset Takeover'}]"
Privileged Account,SUB_TECHNIQUE,"Adversaries use accounts with special privileges on the platform. For example, attackers may utilize accounts with debug privileges to access additional user logs.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0106.001,ACTIVE,"[{'external_id': 'PT0106', 'name': 'Privileged Assets'}]"
Privileged App,SUB_TECHNIQUE,"Adversaries use apps with special privileges on the platform. For example, attackers may utilize first-party apps that are authorized to call special endpoints.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0106.002,ACTIVE,"[{'external_id': 'PT0106', 'name': 'Privileged Assets'}]"
Privileged Assets,TECHNIQUE,Adversaries use privileged assets that have access to additional systems or data on the platform.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0106,ACTIVE,"[{'external_id': 'PTA0003', 'name': 'Asset Takeover'}]"
Process Data,TACTIC,"Adversaries process data for some other purpose. This processing could include things such as training machine learning models to make inferences or be combines with other third-party databases to de-anonymize the data, essentially turning benign information into PII.",PRIVACY_ADVERSARIAL_FRAMEWORK,PTA0008,ACTIVE,[]
Promote Adversarial Tool/Service,TECHNIQUE,Adversaries promote their tools or services to reach a wider audience and increase their number of potential targets. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0072,ACTIVE,"[{'external_id': 'PTA0002', 'name': 'Establish Infrastructure'}]"
Proxy Through First-Party Infrastructure,SUB_TECHNIQUE,Attackers route traffic through infrastructure provided by the platform itself to evade detection and rate limit systems,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0058.003,ACTIVE,"[{'external_id': 'PT0058', 'name': 'Utilize Proxy Service'}]"
Public Unsecured Dataset,TECHNIQUE,Adversaries leverage public unsecured datasets. These datasets may contain information such as user IDs or contact points that adversaries can utilize as part of their attack. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0110,ACTIVE,"[{'external_id': 'PTA0002', 'name': 'Establish Infrastructure'}, {'external_id': 'PTA0001', 'name': 'Reconnaissance'}]"
Public User Data,SUB_TECHNIQUE,Adversaries access public user data that is accessible to anyone on or off the platform,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0093.001,ACTIVE,"[{'external_id': 'PT0093', 'name': 'User Data'}]"
Publish Data,TECHNIQUE,Adversaries publish data as part of their revenue model. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0037,ACTIVE,"[{'external_id': 'PTA0009', 'name': 'Build Revenue / Monetization'}]"
Publish Data to Dark Web,SUB_TECHNIQUE,Adversaries sell or paste personal data on deep or dark web marketplaces,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0037.001,ACTIVE,"[{'external_id': 'PT0037', 'name': 'Publish Data'}]"
Purchase Access Tokens,SUB_TECHNIQUE,Adversaries acquire platform access by purchasing session tokens from an access broker,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0061.002,ACTIVE,"[{'external_id': 'PT0061', 'name': 'Acquire On Platform Assets'}]"
Purchase Accounts,SUB_TECHNIQUE,"Adversaries acquire platform access by purchasing pre-made accounts. For example, adversaries may choose to buy aged accounts that appear more legitimate than newly created accounts",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0061.001,ACTIVE,"[{'external_id': 'PT0061', 'name': 'Acquire On Platform Assets'}]"
Query GraphQL Endpoints,TECHNIQUE,Adversaries directly interact with GraphQL endpoints.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0009,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Reactions,SUB_TECHNIQUE,Adversaries perform artificial engagement by serving reactions to specified posts and boosting engagement on the post,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0025.001,ACTIVE,"[{'external_id': 'PT0025', 'name': 'Artificial Engagement'}]"
Read Data From URL,TECHNIQUE,Adversaries obtain information directly from a URL,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0011,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Read User Cookies,TECHNIQUE,"Adversaries gain access to a user cookie, which may allow for the adversary to impersonate the user on-platform.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0091,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Read User Credentials,TECHNIQUE,"Adversaries gain access to a users credentials, allowing them to compromise that users account.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0092,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Rebrand App/Service,SUB_TECHNIQUE,Adversaries attempt to evade detection by rebranding their service,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0053.001,ACTIVE,"[{'external_id': 'PT0053', 'name': 'Obfuscate Identity'}]"
Reconnaissance,TACTIC,"Adversaries gather information on possible vectors to get access or otherwise exploit a user's personal data in future operations. Reconnaissance consists on techniques that an adversary would use either actively or passively to gather information about an organization, platform, infrastructure, protocols or employees. This information is then used to leverage other tactics and techniques in order to gather private data.",PRIVACY_ADVERSARIAL_FRAMEWORK,PTA0001,ACTIVE,[]
Recreate On-Platform Enforced Assets,TECHNIQUE,Adversaries recreate assets that have been enforced and removed/blocked by the platform to maintain access to the platform.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0066,ACTIVE,"[{'external_id': 'PTA0007', 'name': 'Maintain Persistence'}]"
Remove 2FA,SUB_TECHNIQUE,Attackers bypass 2FA by removing 2FA requirements from the user's account to make it easier to access the account.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0030.003,ACTIVE,"[{'external_id': 'PT0030', 'name': 'Bypass 2FA'}]"
Repeat Requests Until Rate Limit is Triggered,SUB_TECHNIQUE,Adversaries identify rate limit by sending requests until the late limit is triggered,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0076.001,ACTIVE,"[{'external_id': 'PT0076', 'name': 'Identify Rate Limits'}]"
Request Manipulation,TECHNIQUE,"Adversaries modify requests they have captured or recorded in order to collect desired data. For example, a request may be modified to fetch information about a different user.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0097,ACTIVE,"[{'external_id': 'PTA0002', 'name': 'Establish Infrastructure'}]"
Residential Proxy Service,SUB_TECHNIQUE,Adversaries use residential proxy services to mask their identity. Residential proxy services may be desired since the malicious traffic blends with real user traffic.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0058.002,ACTIVE,"[{'external_id': 'PT0058', 'name': 'Utilize Proxy Service'}]"
Reuse Photos,SUB_TECHNIQUE,Adversaries reuse photos from authentic assets or figures to legitimize their assets,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0017.004,ACTIVE,"[{'external_id': 'PT0017', 'name': 'Impersonation'}]"
Reverse Engineer Software,TECHNIQUE,"Adversaries reverse engineer software to gain information about the platform. Examples of information include white-listed app IDs, persisted GraphQL query document IDs, and legacy endpoints. ",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0090,ACTIVE,"[{'external_id': 'PTA0001', 'name': 'Reconnaissance'}]"
Run Ads,TECHNIQUE,Adversaries distribute advertisements using data they have collected,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0033,ACTIVE,"[{'external_id': 'PTA0009', 'name': 'Build Revenue / Monetization'}]"
Scraping,TECHNIQUE,"Adversaries methodically extract data from a platform, at scale. ",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0040,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Sell Data,TECHNIQUE,Adversaries sell data they have collected from the platform for profit. The data may range from large datasets to data specific to certain individuals.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0035,ACTIVE,"[{'external_id': 'PTA0009', 'name': 'Build Revenue / Monetization'}]"
Sharing,SUB_TECHNIQUE,Adversaries perform artificial engagement by sharing specified posts in order to boost the popularity of the post,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0025.004,ACTIVE,"[{'external_id': 'PT0025', 'name': 'Artificial Engagement'}]"
Social Engineer Support,SUB_TECHNIQUE,Adversaries use social engineering tactics to impersonate as the real user when speaking to support staff,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0017.002,ACTIVE,"[{'external_id': 'PT0017', 'name': 'Impersonation'}]"
Spoof Account Identifier,SUB_TECHNIQUE,"Adversaries modify account identifiers to appear as another account. For example, having a certain account identifier may allow the adversary to access certain resources",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0052.009,ACTIVE,"[{'external_id': 'PT0052', 'name': 'Spoofing'}]"
Spoof Location,SUB_TECHNIQUE,Adversaries spoof location data to appear as though they are accessing the platform from certain region,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0052.003,ACTIVE,"[{'external_id': 'PT0052', 'name': 'Spoofing'}]"
Spoof Referrer Header,SUB_TECHNIQUE,"Adversaries send requests with modified referrer headers. For example, platforms may look for specific referrer headers when serving certain sites",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0052.010,ACTIVE,"[{'external_id': 'PT0052', 'name': 'Spoofing'}]"
Spoof Session ID,SUB_TECHNIQUE,Adversaries spoof their session ID to access resources as another user as part of the user's session. Adversaries may spoof their session ID with the intent of accessing additional resources or hiding their real identity.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0052.007,ACTIVE,"[{'external_id': 'PT0052', 'name': 'Spoofing'}]"
Spoof URL,SUB_TECHNIQUE,"Adversaries spoof URLs on-platform, for example by using a redirecting domain",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0052.008,ACTIVE,"[{'external_id': 'PT0052', 'name': 'Spoofing'}]"
Spoof User Agent,SUB_TECHNIQUE,Adversaries spoof user agents to appear as though they are using a certain type of device,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0052.002,ACTIVE,"[{'external_id': 'PT0052', 'name': 'Spoofing'}]"
Spoofing,TECHNIQUE,"Adversaries spoof various pieces of information to hide their characteristics. Not to be confused with impersonation, when adversaries act as another person.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0052,ACTIVE,"[{'external_id': 'PTA0004', 'name': 'Detection / Enforcement Evasion'}, {'external_id': 'PTA0005', 'name': 'Access Data'}, {'external_id': 'PTA0003', 'name': 'Asset Takeover'}]"
Structure/Index Scraped Data,TECHNIQUE,"Adversaries structure their data for ease of querying and joining with other datasets. For example, a key may be used to uniquely identify entries in a dataset.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0070,ACTIVE,"[{'external_id': 'PTA0008', 'name': 'Process Data'}]"
Subscription Model,TECHNIQUE,Adversaries offer a subscription service to the data they have collected,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0032,ACTIVE,"[{'external_id': 'PTA0009', 'name': 'Build Revenue / Monetization'}]"
Switch Infrastructure,TECHNIQUE,Adversaries switch infrastructure to shed identifiers that the platform may have used to identify the attack or adversary identities.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0051,ACTIVE,"[{'external_id': 'PTA0004', 'name': 'Detection / Enforcement Evasion'}]"
Target Outdated Endpoints,TECHNIQUE,Outdated endpoints oftentimes have less protections against privacy attacks. Possible causes include failure to update the endpoint according to newer security guidelines or lack of updated logging on the endpoint. Adversaries may choose to target outdated endpoints to due to the potnetial lower bar of entry,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0005,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Targeted Advertising,TECHNIQUE,Adversaries use ads targeting to isolate a user or group of users in order to gain engagement from the users,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0087,ACTIVE,"[{'external_id': 'PTA0006', 'name': 'User Engagement'}]"
Test Anti-abuse Controls,TECHNIQUE,Anti abuse controls such as fake account detection and bot detection exist on platforms to prevent abusing the platform. Adversaries try to identify the existence of these controls to better guide later steps in their attack.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0073,ACTIVE,"[{'external_id': 'PTA0001', 'name': 'Reconnaissance'}]"
Test Fake Account Detection,SUB_TECHNIQUE,"Adversaries test fake account detection algorithms. For example, they may try creating accounts with various VPNs or profile photos to test detection capabilities",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0073.001,ACTIVE,"[{'external_id': 'PT0073', 'name': 'Test Anti-abuse Controls'}]"
Test Scraping Detection,SUB_TECHNIQUE,"Adversaries test scraping detection algorithms. For example, they may try various forms of scraping with test accounts to see which behaviors trigger detection",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0073.002,ACTIVE,"[{'external_id': 'PT0073', 'name': 'Test Anti-abuse Controls'}]"
Test Session Detection,SUB_TECHNIQUE,"Adversaries test session reuse detection algorithms. For example, they may try to hijack sessions from a test user to see what trips the detection algorithms",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0073.003,ACTIVE,"[{'external_id': 'PT0073', 'name': 'Test Anti-abuse Controls'}]"
Test User,SUB_TECHNIQUE,"Test users are typically assumed to reside in a sandbox where their functionality is limited. If test users are able to perform some real-user actions, then an attacker can multiply the number of authenticated accounts they can use to perform authenticated activity",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0106.003,ACTIVE,"[{'external_id': 'PT0106', 'name': 'Privileged Assets'}]"
Trojan App,SUB_TECHNIQUE,Adversaries market an application to have certain functionality while embedding abusive functionality in the same application,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0101.002,ACTIVE,"[{'external_id': 'PT0101', 'name': 'Create Malicious App'}]"
Use Affiliate Referral Program,SUB_TECHNIQUE,Adversaries leverage affiliate referral programs to generate revenue,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0033.003,ACTIVE,"[{'external_id': 'PT0033', 'name': 'Run Ads'}]"
Use Cloud Infrastructure,TECHNIQUE,Cloud infrastructure such as AWS or Digital Ocean provide a method to quickly scale up attacks at a lower cost and help to mask the attacker's IPs,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0062,ACTIVE,"[{'external_id': 'PTA0002', 'name': 'Establish Infrastructure'}]"
Use Commercial Tooling,SUB_TECHNIQUE,"Adversaries use commercially-available tooling to enable abusive capabilities. For example, they may buy WordPress tools to send requests from many sources",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0040.022,ACTIVE,"[{'external_id': 'PT0040', 'name': 'Scraping'}]"
Use Device Emulation,TECHNIQUE,"Adversaries use device emulation to masquerade as a different device with much higher accuracy. For example, adversaries may choose to emulate an iOS device, rather than using a real device.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0057,ACTIVE,"[{'external_id': 'PTA0004', 'name': 'Detection / Enforcement Evasion'}]"
Use Legacy Tools,TECHNIQUE,"Attackers access the platform from older versions of tools that may not have the same logging and/or restrictions that come with newer versions. For example, older sites may not send as much telemetry about the user's behavior on the site Procedure Example: TBD",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0103,ACTIVE,"[{'external_id': 'PTA0004', 'name': 'Detection / Enforcement Evasion'}, {'external_id': 'PTA0005', 'name': 'Access Data'}]"
Use Open Source Tooling,SUB_TECHNIQUE,"Adversaries use open-source tooling to enable abusive capabilities. For example, they may use Selenium to automate browser traffic ",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0040.023,ACTIVE,"[{'external_id': 'PT0040', 'name': 'Scraping'}]"
Use Persisted GraphQL Query,TECHNIQUE,Adversaries leverage persisted GraphQL queries that are stored on the server side and referenced by hashes sent by the client instead of sending a full query to the server. This feature aims to restrict the queries that can be queried from the server. Adversaries may still reuse the query for malicious purposes.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0050,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
Use Private Domain Registration,SUB_TECHNIQUE,Adversaries use private domain registration services like WhoIs Guard to mask their personal information when registering domains ,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0053.004,ACTIVE,"[{'external_id': 'PT0053', 'name': 'Obfuscate Identity'}]"
Use Shell Company,SUB_TECHNIQUE,Adversaries use shell companies to hide their personal information when create corporate entities,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0053.005,ACTIVE,"[{'external_id': 'PT0053', 'name': 'Obfuscate Identity'}]"
Use Third-Party Ads,SUB_TECHNIQUE,Adversaries generate revenue by selling ad space to third-party advertisers,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0033.002,ACTIVE,"[{'external_id': 'PT0033', 'name': 'Run Ads'}]"
User Data,TECHNIQUE,"This technique captures when a user's data has been accessed, with user data being items directly related to a user, such as emails, photos, posts, and reactions. Adversaries may be interested in user data to better understand the demographic and interests of the user",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0093,ACTIVE,"[{'external_id': 'PTA0005', 'name': 'Access Data'}]"
User Engagement,TACTIC,Adversaries use techniques under this tactic to engage with users on a specific platform or service. This is typically seen on social media platforms but is not restricted to those.  The adversary will engage with users on a platform to either leverage other techniques or to extract personal data directly from them. ,PRIVACY_ADVERSARIAL_FRAMEWORK,PTA0006,ACTIVE,[]
Utilize Batched Requests,TECHNIQUE,"Some endpoints have rate-limits set per request, so batching requests in a single request can sometimes allow attackers to bypass these rate-limits.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0116,ACTIVE,"[{'external_id': 'PTA0004', 'name': 'Detection / Enforcement Evasion'}, {'external_id': 'PTA0005', 'name': 'Access Data'}]"
Utilize Official Login Integration,SUB_TECHNIQUE,Adversaries use the official login integration to appear legitimate and enable violating capabilities such as stealing user tokens,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0063.001,ACTIVE,"[{'external_id': 'PT0063', 'name': 'Utilize Official SDK'}]"
Utilize Official SDK,TECHNIQUE,Adversaries incorporate official software development kits (SDKs) in their attacks to appear more legitimate.,PRIVACY_ADVERSARIAL_FRAMEWORK,PT0063,ACTIVE,"[{'external_id': 'PTA0002', 'name': 'Establish Infrastructure'}]"
Utilize Proxy Service,TECHNIQUE,"Proxy services tunnel user traffic through an intermediate source before sending the traffic to the platform. By using a proxy, adversaries mingle with legitimate traffic and hide their origin.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0058,ACTIVE,"[{'external_id': 'PTA0004', 'name': 'Detection / Enforcement Evasion'}]"
Virtual Phone Numbers,TECHNIQUE,"Adversaries use virtual phone numbers for functionality that requires, for example, an SMS verification code. Virtual phone numbers are cheaper to obtain, so the overall cost to scrape is much lower when VoIP numbers are allowed.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0088,ACTIVE,"[{'external_id': 'PTA0004', 'name': 'Detection / Enforcement Evasion'}]"
Wildcard Query,SUB_TECHNIQUE,"Adversaries use wildcards in queries to get more information. Certain queries allow the use of wildcard characters due to the query engine used. For example, certain query engines use the underscore character '_' as a wildcard, while others use the asterisk or even percent signs as wildcards.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0040.020,ACTIVE,"[{'external_id': 'PT0040', 'name': 'Scraping'}]"
Word Dictionary,SUB_TECHNIQUE,"Adversaries guess hidden parameters with a word dictionary. By guessing undocumented, but supported, parameters, attackers may be able to retrieve data that was not originally intended for external use.",PRIVACY_ADVERSARIAL_FRAMEWORK,PT0027.003,ACTIVE,"[{'external_id': 'PT0027', 'name': 'Brute Force'}]"
